,Datetime,RA,DEC,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start,Month,Year,Day,pca,residuals
6668,2024-10-04 20:00:00,210.8125,-14.865527777777778,-6.044,6.371,0.00270847770539,-0.0156319,22.3063 /T,157.6348,29.72489,114.60927,-0.925523,n.a.,n.a.,24004800.0,10,2024,4,-0.5531090449367544,4.285680849840361e-05
987,2024-02-11 03:00:00,340.9508333333333,-10.509027777777778,-5.836,6.243,0.00239446852119,0.0075167,16.8444 /T,163.1154,37.960194,63.85297,0.3864669,n.a.,n.a.,3553200.0,2,2024,11,-2.7873685112291904,-3.198707541559242e-05
3320,2024-05-18 08:00:00,179.18545833333334,1.922972222222222,-11.002,4.677,0.00270393118297,-0.0072836,120.9441 /T,58.9246,29.637574,118.42266,-0.42787,n.a.,n.a.,11952000.0,5,2024,18,0.03658375286675179,2.8549757309183355e-05
2150,2024-03-30 14:00:00,246.74825,-25.948083333333333,-11.095,4.653,0.00261646726059,-0.0487063,120.7517 /L,59.1195,31.654336,102.03836,-2.782462,n.a.,n.a.,7740000.0,3,2024,30,-1.2022194019331445,-1.264186747546546e-05
7888,2024-11-24 16:00:00,171.44833333333332,5.087305555555555,-9.318,5.528,0.00269622604077,0.0248936,72.3832 /L,107.4675,29.731715,118.14584,1.4699329,n.a.,n.a.,28396800.0,11,2024,24,0.17837676055442606,2.182133374759596e-05
7670,2024-11-15 14:00:00,45.51979166666667,20.880972222222223,-12.729,3.494,0.0024144155276,0.0222982,174.4004 /T,5.5858,37.369336,70.184126,1.1769835,n.a.,n.a.,27612000.0,11,2024,15,2.392728266999915,-7.754821410423931e-05
7180,2024-10-26 04:00:00,147.26733333333334,16.952055555555553,-9.175,5.607,0.0026702278298,0.0427378,69.2001 /L,110.6558,30.327406,113.54387,2.498,n.a.,n.a.,25848000.0,10,2024,26,0.6266948137133724,7.388948621313545e-06
7690,2024-11-16 10:00:00,58.33745833333333,24.608111111111114,-12.645,3.562,0.00242901383723,0.0380905,171.6204 /L,8.3594,36.91756,75.195884,2.0182547,n.a.,n.a.,27684000.0,11,2024,16,2.1813016838644472,-9.393940837236622e-05
7837,2024-11-22 13:00:00,147.98383333333334,16.454638888888887,-10.298,5.082,0.00264774493847,0.0531975,95.8197 /L,84.0275,30.801614,113.73884,3.0894968,n.a.,n.a.,28213200.0,11,2024,22,0.6130291086548338,-1.5636834079655465e-05
6813,2024-10-10 21:00:00,291.115375,-26.768888888888892,-10.174,5.194,0.0025607713858,-0.066031,91.0560 /T,88.7971,32.953838,80.436916,-3.703727,n.a.,n.a.,24526800.0,10,2024,10,-1.9699646370213582,9.70481347682033e-06
